Debit,DATE,Description,Credit,Amount,,,,,
Cashback,2/7/2020,Cashback - addition,Cashback - Amazon Card,$27.59 ,,,,,
Cashback,2/7/2020,Cashback - addition,Cashback - AMEX,$10.70 ,,,,,
Cashback,2/7/2020,Cashback - addition,Cashback - Citi,$15.41 ,,,,,
CACI,2/7/2020,PAYCHECK,Capital One Savings,"$1,164.12 ",,,,,
CACI,2/7/2020,PAYCHECK,Capital One Savings,$513.56 ,,,,,
CACI,2/7/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,2/7/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,2/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,2/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,2/7/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,2/7/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI,2/7/2020,PAYCHECK,HSA,$108.33 ,,,,,
CACI Contr.,2/7/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,2/7/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
CACI,2/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,2/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
Capital One Checking,2/7/2020,Transfer,Paypal,$120.65 ,,,,,
SquareCash,2/7/2020,Paid Lior for Phone,Phone Bill,$33.00 ,,,,,
SquareCash,2/7/2020,Paid Lior for Car,Car Payments,$198.00 ,,,,,
SquareCash,2/7/2020,Paid Ward for Syds Insurance and Phone,Syds Insurance,$120.00 ,,,,,
Capital One Checking,2/7/2020,Transfer,SquareCash,$198.00 ,,,,,
Capital One Savor,2/7/2020,ON THE BORDER,Dining Out,$15.00 ,,,,,
Capital One Savor,2/8/2020,THE POTTERY STOP,Coffee Shops,$9.27 ,,,,,
Clothing,2/9/2020,AMAZON MARKETPLACE,Amazon Store Card,$60.81 ,,,,,
Capital One Savor,2/9/2020,PLAYA BOWLS - COLLEGE,Dining Out,$23.15 ,,,,,
Capital One Savor,2/9/2020,POTBELLY #50,Dining Out,$51.77 ,,,,,
Capital One Savor,2/9/2020,CKE*BAGEL PLACE OF COL,Dining Out,$6.92 ,,,,,
Citi Double Cash Back,2/9/2020,SEAWORLD PARKS&ENT SEA 4075455550 FL,Activities,$14.99 ,,,,,
Coffee Shops,2/9/2020,Angela gave me money probably for coffee,Venmo,$10.00 ,,,,,
Venmo,2/9/2020,Paid Carl for P4K,Volleyball,$24.25 ,,,,,
Delivery/ Carry-Out,2/9/2020,Anthony gave me money for PotBelly,Venmo,$9.00 ,,,,,
Delivery/ Carry-Out,2/9/2020,Aaron gave me money for PotBelly,Venmo,$6.25 ,,,,,
Delivery/ Carry-Out,2/9/2020,Grotke paid me for PotBelly,SquareCash,$8.75 ,,,,,
Citi Double Cash Back,2/10/2020,DUNKIN' MOBILE,Coffee Shops,$15.00 ,,,,,
Citi Double Cash Back,2/10/2020,DUNKIN' AUTO RELOAD 8004470013 MA,Coffee Shops,$50.00 ,,,,,
SquareCash,2/11/2020,Transfer,Capital One Checking,$108.25 ,,,,,
Capital One Checking,2/11/2020,PAYMENT - Thank You,AMEX Blue Cash,$278.79 ,,,,,
Capital One Checking,2/11/2020,PAYMENT - Thank You,Capital One Savor,$817.46 ,,,,,
Capital One Checking,2/11/2020,PAYMENT - Thank You,Chase Sapphire,"$2,260.00 ",,,,,
Capital One Checking,2/11/2020,PAYMENT - Thank You,Citi Double Cash Back,"$1,878.89 ",,,,,
Capital One Checking,2/11/2020,PAYMENT - Thank You,Discover It Credit Card,$300.48 ,,,,,
Capital One Checking,2/11/2020,PAYMENT - Thank You,Amazon Store Card,$572.76 ,,,,,
Amazon Store Card,2/11/2020,AMAZON MARKETPLACE,Clothing,$41.34 ,,,,,
Capital One Savor,2/11/2020,CHICK-FIL-A #01454,Dining Out,$24.73 ,,,,,
Citi Double Cash Back,2/11/2020,Etsy.com - TheBindingT,Wedding,$58.29 ,,,,,
TD Bank,2/11/2020,Dept Education Student Ln,NelNet Loan,"$1,022.14 ",,,,,
Amazon Store Card,2/12/2020,AMAZON MARKETPLACE,Clothing,$24.37 ,,,,,
Amazon Store Card,2/12/2020,AMAZON MARKETPLACE,Clothing,$12.99 ,,,,,
Clothing,2/12/2020,AMAZON MARKETPLACE,Amazon Store Card,$47.68 ,,,,,
Clothing,2/12/2020,AMAZON MARKETPLACE,Amazon Store Card,$11.51 ,,,,,
Amazon Store Card,2/12/2020,AMAZON MARKETPLACE,Clothing,$54.36 ,,,,,
Clothing,2/12/2020,AMAZON MARKETPLACE,Amazon Store Card,$23.31 ,,,,,
Amazon Store Card,2/12/2020,AMAZON MARKETPLACE,Clothing,$7.00 ,,,,,
Amazon Store Card,2/12/2020,AMAZON MARKETPLACE,Amazon,$119.00 ,,,,,
Citi Double Cash Back,2/13/2020,HM.COM New York,Clothing,$19.86 ,,,,,
Citi Double Cash Back,2/13/2020,WAL-MART #5228 COLUMBIA MD,Wedding,$64.81 ,,,,,
Discover It Credit Card,2/13/2020,ALDI,Groceries,$93.44 ,,,,,
Capital One Checking,2/13/2020,Royal Farms,Gas,$21.55 ,,,,,
Capital One Checking,2/13/2020,FORARY LLC,Wedding,$92.00 ,,,,,
Amazon Store Card,2/14/2020,AMAZON MARKETPLACE,Clothing,$18.01 ,,,,,
Amazon Store Card,2/14/2020,AMAZON MARKETPLACE,Clothing,$12.69 ,,,,,
Amazon Store Card,2/14/2020,AMAZON MARKETPLACE,Clothing,$34.66 ,,,,,
Clothing,2/14/2020,AMAZON MARKETPLACE,Amazon Store Card,$28.61 ,,,,,
Capital One Savor,2/14/2020,SLURPIN RAMEN,Dining Out,$37.79 ,,,,,
Capital One Savor,2/14/2020,ROYALTEA LLC,Dining Out,$11.34 ,,,,,
CACI,2/14/2020,HSA Refund,Capital One Checking,$25.00 ,,,,,
Capital One Checking,2/14/2020,Verizon,Verizon,$57.71 ,,,,,
Capital One Savor,2/15/2020,IHOP 526,Dining Out,$45.00 ,,,,,
Citi Double Cash Back,2/15/2020,EXXONMOBIL,Gas,$20.00 ,,,,,
Capital One Savor,2/16/2020,Leelynns,Dining Out,$33.57 ,,,,,
Capital One Savor,2/16/2020,SQ *KATANA SUSHI OF EL,Dining Out,$71.55 ,,,,,
Citi Double Cash Back,2/16/2020,Spotify USA New York NY,Spotify,$9.99 ,,,,,
